"category","subcategory","product_name","code","size","unit","moq","price","image_url","notes","active"
"Polygel","Polygel","LC_ACY-PR-PG04","LC_ACY-PR-PG04","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-PR-PG04.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-PR-PG05","LC_ACY-PR-PG05","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-PR-PG05.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-PR-PG06","LC_ACY-PR-PG06","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-PR-PG06.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-PR-PG07","LC_ACY-PR-PG07","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-PR-PG07.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-PR-PG08","LC_ACY-PR-PG08","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-PR-PG08.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-PR-PG09","LC_ACY-PR-PG09","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-PR-PG09.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-PR-PG10","LC_ACY-PR-PG10","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-PR-PG10.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-PR-PG11","LC_ACY-PR-PG11","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-PR-PG11.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-PR-PG12","LC_ACY-PR-PG12","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-PR-PG12.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-PR-PG13","LC_ACY-PR-PG13","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-PR-PG13.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-PR-PG14","LC_ACY-PR-PG14","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-PR-PG14.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-PR-PG15","LC_ACY-PR-PG15","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-PR-PG15.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-PR-PG16","LC_ACY-PR-PG16","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-PR-PG16.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-PR-PG17","LC_ACY-PR-PG17","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-PR-PG17.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-PR-PG18","LC_ACY-PR-PG18","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-PR-PG18.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-S-PG01","LC_ACY-S-PG01","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-S-PG01.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-S-PG02","LC_ACY-S-PG02","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-S-PG02.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-S-PG03","LC_ACY-S-PG03","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-S-PG03.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-S-PG04","LC_ACY-S-PG04","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-S-PG04.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-S-PG05","LC_ACY-S-PG05","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-S-PG05.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-S-PG06","LC_ACY-S-PG06","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-S-PG06.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-S-PG07","LC_ACY-S-PG07","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-S-PG07.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-S-PG08","LC_ACY-S-PG08","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-S-PG08.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-S-PG09","LC_ACY-S-PG09","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-S-PG09.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-S-PG10","LC_ACY-S-PG10","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-S-PG10.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-SA-PG01","LC_ACY-SA-PG01","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-SA-PG01.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-SA-PG02","LC_ACY-SA-PG02","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-SA-PG02.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-SA-PG03","LC_ACY-SA-PG03","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-SA-PG03.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-SA-PG04","LC_ACY-SA-PG04","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-SA-PG04.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-SA-PG05","LC_ACY-SA-PG05","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-SA-PG05.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-SA-PG06","LC_ACY-SA-PG06","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-SA-PG06.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-SA-PG07","LC_ACY-SA-PG07","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-SA-PG07.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-SA-PG08","LC_ACY-SA-PG08","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-SA-PG08.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-SA-PG09","LC_ACY-SA-PG09","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-SA-PG09.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-SA-PG10","LC_ACY-SA-PG10","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-SA-PG10.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-SA-PG11","LC_ACY-SA-PG11","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-SA-PG11.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-SA-PG12","LC_ACY-SA-PG12","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-SA-PG12.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-SA-PG13","LC_ACY-SA-PG13","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-SA-PG13.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-SA-PG14","LC_ACY-SA-PG14","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-SA-PG14.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-SA-PG15","LC_ACY-SA-PG15","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-SA-PG15.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-SA-PG16","LC_ACY-SA-PG16","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-SA-PG16.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-SA-PG17","LC_ACY-SA-PG17","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-SA-PG17.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-SA-PG18","LC_ACY-SA-PG18","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-SA-PG18.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-SA-PG19","LC_ACY-SA-PG19","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-SA-PG19.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-SA-PG20","LC_ACY-SA-PG20","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-SA-PG20.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-WA-PG01","LC_ACY-WA-PG01","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-WA-PG01.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-WA-PG02","LC_ACY-WA-PG02","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-WA-PG02.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-WA-PG03","LC_ACY-WA-PG03","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-WA-PG03.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-WA-PG04","LC_ACY-WA-PG04","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-WA-PG04.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-WA-PG05","LC_ACY-WA-PG05","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-WA-PG05.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-WA-PG06","LC_ACY-WA-PG06","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-WA-PG06.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-WA-PG07","LC_ACY-WA-PG07","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-WA-PG07.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-WA-PG08","LC_ACY-WA-PG08","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-WA-PG08.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-WA-PG09","LC_ACY-WA-PG09","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-WA-PG09.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-WA-PG10","LC_ACY-WA-PG10","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-WA-PG10.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-WA-PG11","LC_ACY-WA-PG11","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-WA-PG11.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-WA-PG12","LC_ACY-WA-PG12","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-WA-PG12.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-WA-PG13","LC_ACY-WA-PG13","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-WA-PG13.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-WA-PG14","LC_ACY-WA-PG14","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-WA-PG14.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-WA-PG15","LC_ACY-WA-PG15","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-WA-PG15.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-WA-PG16","LC_ACY-WA-PG16","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-WA-PG16.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-WA-PG17","LC_ACY-WA-PG17","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-WA-PG17.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-WA-PG18","LC_ACY-WA-PG18","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-WA-PG18.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-WA-PG19","LC_ACY-WA-PG19","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-WA-PG19.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY-WA-PG20","LC_ACY-WA-PG20","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY-WA-PG20.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY_K_PG01","LC_ACY_K_PG01","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY_K_PG01.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY_K_PG02","LC_ACY_K_PG02","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY_K_PG02.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY_K_PG03","LC_ACY_K_PG03","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY_K_PG03.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY_K_PG04","LC_ACY_K_PG04","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY_K_PG04.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY_K_PG05","LC_ACY_K_PG05","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY_K_PG05.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY_K_PG06","LC_ACY_K_PG06","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY_K_PG06.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY_K_PG07","LC_ACY_K_PG07","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY_K_PG07.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY_K_PG08","LC_ACY_K_PG08","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY_K_PG08.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY_K_PG09","LC_ACY_K_PG09","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY_K_PG09.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY_K_PG10","LC_ACY_K_PG10","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY_K_PG10.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY_K_PG11","LC_ACY_K_PG11","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY_K_PG11.webp","AUTO_B2B_FROM_IMAGE","TRUE"
"Polygel","Polygel","LC_ACY_K_PG12","LC_ACY_K_PG12","30","g","100","0","/img/b2b/Polygels/polygel/LC_ACY_K_PG12.webp","AUTO_B2B_FROM_IMAGE","TRUE"
